Entry	Base_Accession	Protein_Family	Gene_Name
A0ACI8TPU3	A0ACI8TPU3	Not available	FAM118B
A0ACI8TPU5	A0ACI8TPU5	Not available	GTF2A2
A0ACI8TPU6	A0ACI8TPU6	Not available	FAM118B
A0ACI8TPU7	A0ACI8TPU7	Not available	S100A11
A0ACI8TPU8	A0ACI8TPU8	Not available	NRCAM
A0ACI8TPV2	A0ACI8TPV2	Not available	CNIH4
A0ACI8TPV3	A0ACI8TPV3	Not available	EIF3D
A0ACI8TPV4	A0ACI8TPV4	Not available	VPS33A
A0ACI8TPV6	A0ACI8TPV6	Not available	PKM
A0ACI8TPV7	A0ACI8TPV7	Not available	PIM3
A0ACI8TPV8	A0ACI8TPV8	Not available	PI4KB
A0ACI8TPV9	A0ACI8TPV9	Not available	APMAP
A0ACI8TPW0	A0ACI8TPW0	Not available	SUPT20H
A0ACI8TPW1	A0ACI8TPW1	Not available	PIAS4
A0ACI8TPW2	A0ACI8TPW2	Not available	CDC123
A0ACI8TPW3	A0ACI8TPW3	Not available	PIM3
A0ACI8TPW4	A0ACI8TPW4	Not available	GAA
A0ACI8TPW5	A0ACI8TPW5	Not available	PI4KB
A0ACI8TPW6	A0ACI8TPW6	Not available	GABRA3
A0ACI8TPW7	A0ACI8TPW7	Not available	GTF2E1
A0ACI8TPW8	A0ACI8TPW8	Not available	EMD
A0ACI8TPW9	A0ACI8TPW9	Not available	S100A11
A0ACI8TPX0	A0ACI8TPX0	Not available	CNIH4
A0ACI8TPX1	A0ACI8TPX1	Not available	EMD
A0ACI8TPX2	A0ACI8TPX2	Not available	EIF3D
A0ACI8TPX3	A0ACI8TPX3	Not available	ADPRS
A0ACI8TPX4	A0ACI8TPX4	Not available	PIM3
A0ACI8TPX5	A0ACI8TPX5	Not available	UBE2K
A0ACI8TPX6	A0ACI8TPX6	Not available	CXXC1
A0ACI8TPX7	A0ACI8TPX7	Not available	USP10
A0ACI8TPX8	A0ACI8TPX8	Not available	UBQLN4
A0ACI8TPY0	A0ACI8TPY0	Not available	FUCA2
A0ACI8TPY1	A0ACI8TPY1	Not available	CNIH4
A0ACI8TPY2	A0ACI8TPY2	Not available	TANK
A0ACI8TPY3	A0ACI8TPY3	Not available	PKM
A0ACI8TPY4	A0ACI8TPY4	Not available	SMN1
A0ACI8TPY6	A0ACI8TPY6	Not available	ECPAS
A0ACI8TPY7	A0ACI8TPY7	Not available	CDC123
A0ACI8TPY8	A0ACI8TPY8	Not available	CNIH4
A0ACI8TPY9	A0ACI8TPY9	Not available	GRIK5
A0ACI8TPZ1	A0ACI8TPZ1	Not available	NPC2
A0ACI8TPZ2	A0ACI8TPZ2	Not available	KRABD4
A0ACI8TPZ3	A0ACI8TPZ3	Not available	GRIK5
A0ACI8TPZ4	A0ACI8TPZ4	Not available	USP10
A0ACI8TPZ5	A0ACI8TPZ5	Not available	UBQLN4
A0ACI8TPZ6	A0ACI8TPZ6	Not available	GRIK5
A0ACI8TPZ8	A0ACI8TPZ8	Not available	LBR
A0ACI8TPZ9	A0ACI8TPZ9	Not available	SMAD4
A0ACI8TQ00	A0ACI8TQ00	Not available	NCL
A0ACI8TQ01	A0ACI8TQ01	Not available	AURKB
A0ACI8TQ02	A0ACI8TQ02	Not available	S100A11
A0ACI8TQ03	A0ACI8TQ03	Not available	TMEM116
A0ACI8TQ04	A0ACI8TQ04	Not available	SMN1
A0ACI8TQ05	A0ACI8TQ05	Not available	BTG3
A0ACI8TQ06	A0ACI8TQ06	Not available	LBR
A0ACI8TQ07	A0ACI8TQ07	Not available	PDXK
A0ACI8TQ10	A0ACI8TQ10	Not available	PSME3
A0ACI8TQ11	A0ACI8TQ11	Not available	USP10
A0ACI8TQ12	A0ACI8TQ12	Not available	USP10
A0ACI8TQ13	A0ACI8TQ13	Not available	PIAS4
A0ACI8TQ14	A0ACI8TQ14	Not available	CXXC1
A0ACI8TQ16	A0ACI8TQ16	Not available	NCL
A0ACI8TQ17	A0ACI8TQ17	Not available	TALDO1
A0ACI8TQ19	A0ACI8TQ19	Not available	TALDO1
A0ACI8TQ20	A0ACI8TQ20	Not available	BRD2
A0ACI8TQ21	A0ACI8TQ21	Not available	SMN1
A0ACI8TQ22	A0ACI8TQ22	Not available	ZCRB1
A0ACI8TQ23	A0ACI8TQ23	Not available	USP10
A0ACI8TQ24	A0ACI8TQ24	Not available	USP10
A0ACI8TQ25	A0ACI8TQ25	Not available	ZPR1
A0ACI8TQ26	A0ACI8TQ26	Not available	LBR
A0ACI8TQ27	A0ACI8TQ27	Not available	UFM1
A0ACI8TQ28	A0ACI8TQ28	Not available	NCL
A0ACI8TQ29	A0ACI8TQ29	Not available	USP10
A0ACI8TQ30	A0ACI8TQ30	Not available	USP10
A0ACI8TQ31	A0ACI8TQ31	Not available	IFT52
A0ACI8TQ33	A0ACI8TQ33	Not available	UTP18
A0ACI8TQ34	A0ACI8TQ34	Not available	UBQLN4
A0ACI8TQ35	A0ACI8TQ35	Not available	SARS1
A0ACI8TQ36	A0ACI8TQ36	Not available	ECPAS
A0ACI8TQ37	A0ACI8TQ37	Not available	OCIAD1
A0ACI8TQ38	A0ACI8TQ38	Not available	BRD2
A0ACI8TQ39	A0ACI8TQ39	Not available	YBX3
A0ACI8TQ40	A0ACI8TQ40	Not available	NCL
A0ACI8TQ41	A0ACI8TQ41	Not available	KDM5D
A0ACI8TQ42	A0ACI8TQ42	Not available	RHBDF2
A0ACI8TQ43	A0ACI8TQ43	Not available	GRIK5
A0ACI8TQ44	A0ACI8TQ44	Not available	CNOT3
A0ACI8TQ45	A0ACI8TQ45	Not available	KDM5D
A0ACI8TQ46	A0ACI8TQ46	Not available	SLC29A2
A0ACI8TQ48	A0ACI8TQ48	Not available	ANP32E
A0ACI8TQ49	A0ACI8TQ49	Not available	GIGYF2
A0ACI8TQ50	A0ACI8TQ50	Not available	NR1H3
A0ACI8TQ51	A0ACI8TQ51	Not available	USP10
A0ACI8TQ52	A0ACI8TQ52	Not available	ANP32E
A0ACI8TQ54	A0ACI8TQ54	Not available	SLC29A2
A0ACI8TQ55	A0ACI8TQ55	Not available	PIM3
A0ACI8TQ57	A0ACI8TQ57	Not available	EML2
A0ACI8TQ58	A0ACI8TQ58	Not available	KDM5D
A0ACI8TQ59	A0ACI8TQ59	Not available	TRIM11
A0ACI8TQ60	A0ACI8TQ60	Not available	SPAG9
A0ACI8TQ61	A0ACI8TQ61	Not available	VPS33A
A0ACI8TQ62	A0ACI8TQ62	Not available	MRPL13
A0ACI8TQ64	A0ACI8TQ64	Not available	APMAP
A0ACI8TQ65	A0ACI8TQ65	Not available	KDM5D
A0ACI8TQ67	A0ACI8TQ67	Not available	FECH
A0ACI8TQ68	A0ACI8TQ68	Not available	SMN1
A0ACI8TQ69	A0ACI8TQ69	Not available	PPP2R5A
A0ACI8TQ70	A0ACI8TQ70	Not available	TEX2
A0ACI8TQ71	A0ACI8TQ71	Not available	TATDN1
A0ACI8TQ72	A0ACI8TQ72	Not available	TATDN1
A0ACI8TQ73	A0ACI8TQ73	Not available	SLK
A0ACI8TQ74	A0ACI8TQ74	Not available	DGKQ
A0ACI8TQ75	A0ACI8TQ75	Not available	CLN8
A0ACI8TQ76	A0ACI8TQ76	Not available	SASH1
A0ACI8TQ77	A0ACI8TQ77	Not available	TATDN1
A0ACI8TQ78	A0ACI8TQ78	Not available	NAGPA
A0ACI8TQ79	A0ACI8TQ79	Not available	UBE2K
A0ACI8TQ80	A0ACI8TQ80	Not available	RPL35
A0ACI8TQ82	A0ACI8TQ82	Not available	YBX3
A0ACI8TQ83	A0ACI8TQ83	Not available	CDC123
A0ACI8TQ85	A0ACI8TQ85	Not available	DYNLL1
A0ACI8TQ86	A0ACI8TQ86	Not available	NAGLU
A0ACI8TQ87	A0ACI8TQ87	Not available	DYNLL1
A0ACI8TQ88	A0ACI8TQ88	Not available	DRAM2
A0ACI8TQ89	A0ACI8TQ89	Not available	TATDN1
A0ACI8TQ90	A0ACI8TQ90	Not available	GRIK5
A0ACI8TQ91	A0ACI8TQ91	Not available	RPL35
A0ACI8TQ93	A0ACI8TQ93	Not available	POLA1
A0ACI8TQ94	A0ACI8TQ94	Not available	VPS33A
A0ACI8TQ95	A0ACI8TQ95	Not available	MRPL58
A0ACI8TQ96	A0ACI8TQ96	Not available	RPL35
A0ACI8TQ98	A0ACI8TQ98	Not available	HSPBP1
A0ACI8TQ99	A0ACI8TQ99	Not available	FAF2
A0ACI8TQA0	A0ACI8TQA0	Not available	HAUS4
A0ACI8TQA1	A0ACI8TQA1	Not available	DGKQ
A0ACI8TQA2	A0ACI8TQA2	Not available	LBR
A0ACI8TQA4	A0ACI8TQA4	Not available	NFYB
A0ACI8TQA5	A0ACI8TQA5	Not available	CNOT10
A0ACI8TQA6	A0ACI8TQA6	Not available	AURKB
A0ACI8TQA7	A0ACI8TQA7	Not available	CDC123
A0ACI8TQA8	A0ACI8TQA8	Not available	CDC123
A0ACI8TQA9	A0ACI8TQA9	Not available	MRPL13
A0ACI8TQB0	A0ACI8TQB0	Not available	AARS2
A0ACI8TQB1	A0ACI8TQB1	Not available	CSE1L
A0ACI8TQB2	A0ACI8TQB2	Not available	UBE2K
A0ACI8TQB3	A0ACI8TQB3	Not available	CDC123
A0ACI8TQB4	A0ACI8TQB4	Not available	CUX2
A0ACI8TQB5	A0ACI8TQB5	Not available	TATDN1
A0ACI8TQB7	A0ACI8TQB7	Not available	BOP1
A0ACI8TQB8	A0ACI8TQB8	Not available	DRAM2
A0ACI8TQB9	A0ACI8TQB9	Not available	TMEM18
A0ACI8TQC0	A0ACI8TQC0	Not available	NAPRT
A0ACI8TQC3	A0ACI8TQC3	Not available	PPHLN1
A0ACI8TQC4	A0ACI8TQC4	Not available	MAP6D1
A0ACI8TQC5	A0ACI8TQC5	Not available	DYNC1I2
A0ACI8TQC6	A0ACI8TQC6	Not available	PDIA5
A0ACI8TQC7	A0ACI8TQC7	Not available	NAGPA
A0ACI8TQC8	A0ACI8TQC8	Not available	THUMPD2
A0ACI8TQC9	A0ACI8TQC9	Not available	LRRC41
A0ACI8TQD0	A0ACI8TQD0	Not available	SMN1
A0ACI8TQD1	A0ACI8TQD1	Not available	LLGL2
A0ACI8TQD2	A0ACI8TQD2	Not available	ABHD11
A0ACI8TQD3	A0ACI8TQD3	Not available	USP10
A0ACI8TQD4	A0ACI8TQD4	Not available	BOP1
A0ACI8TQD5	A0ACI8TQD5	Not available	THUMPD2
A0ACI8TQD6	A0ACI8TQD6	Not available	OCIAD1
A0ACI8TQD7	A0ACI8TQD7	Not available	RPL35
A0ACI8TQD8	A0ACI8TQD8	Not available	MRPL58
A0ACI8TQD9	A0ACI8TQD9	Not available	THUMPD2
A0ACI8TQE0	A0ACI8TQE0	Not available	PMEL
A0ACI8TQE1	A0ACI8TQE1	Not available	LRRFIP1
A0ACI8TQE2	A0ACI8TQE2	Not available	BOP1
A0ACI8TQE3	A0ACI8TQE3	Not available	CFAP20
A0ACI8TQE4	A0ACI8TQE4	Not available	BOP1
A0ACI8TQE6	A0ACI8TQE6	Not available	LRRC41
A0ACI8TQE7	A0ACI8TQE7	Not available	HMBS
A0ACI8TQE8	A0ACI8TQE8	Not available	PKN2
A0ACI8TQE9	A0ACI8TQE9	Not available	LLGL2
A0ACI8TQF0	A0ACI8TQF0	Not available	POLA1
A0ACI8TQF1	A0ACI8TQF1	Not available	THUMPD2
A0ACI8TQF2	A0ACI8TQF2	Not available	CNOT10
A0ACI8TQF3	A0ACI8TQF3	Not available	HDAC1
A0ACI8TQF4	A0ACI8TQF4	Not available	MMACHC
A0ACI8TQF5	A0ACI8TQF5	Not available	USP11
A0ACI8TQF6	A0ACI8TQF6	Not available	NOP56
A0ACI8TQF7	A0ACI8TQF7	Not available	MTFP1
A0ACI8TQF9	A0ACI8TQF9	Not available	EVI5
A0ACI8TQG0	A0ACI8TQG0	Not available	EVI5
A0ACI8TQG1	A0ACI8TQG1	Not available	PKM
A0ACI8TQG2	A0ACI8TQG2	Not available	ADAT2
A0ACI8TQG3	A0ACI8TQG3	Not available	SPAG9
A0ACI8TQG4	A0ACI8TQG4	Not available	EVI5
A0ACI8TQG5	A0ACI8TQG5	Not available	NDUFS6
A0ACI8TQG6	A0ACI8TQG6	Not available	LLGL2
A0ACI8TQG7	A0ACI8TQG7	Not available	CDC123
A0ACI8TQG8	A0ACI8TQG8	Not available	PMEL
A0ACI8TQG9	A0ACI8TQG9	Not available	CSE1L
A0ACI8TQH0	A0ACI8TQH0	Not available	EDEM2
A0ACI8TQH1	A0ACI8TQH1	Not available	PMEL
A0ACI8TQH2	A0ACI8TQH2	Not available	MYCBP2
A0ACI8TQH3	A0ACI8TQH3	Not available	SH3BP2
A0ACI8TQH4	A0ACI8TQH4	Not available	PSMA5
A0ACI8TQH5	A0ACI8TQH5	Not available	ABHD11
A0ACI8TQH6	A0ACI8TQH6	Not available	RNF122
A0ACI8TQH7	A0ACI8TQH7	Not available	EVI5
A0ACI8TQH8	A0ACI8TQH8	Not available	PPHLN1
A0ACI8TQH9	A0ACI8TQH9	Not available	MINDY2
A0ACI8TQI0	A0ACI8TQI0	Not available	CUX2
A0ACI8TQI1	A0ACI8TQI1	Not available	RPL35
A0ACI8TQI2	A0ACI8TQI2	Not available	HMBS
A0ACI8TQI4	A0ACI8TQI4	Not available	THUMPD2
A0ACI8TQI5	A0ACI8TQI5	Not available	TIMM23
A0ACI8TQI7	A0ACI8TQI7	Not available	NDUFS6
A0ACI8TQI8	A0ACI8TQI8	Not available	JMJD6
A0ACI8TQI9	A0ACI8TQI9	Not available	GPN2
A0ACI8TQJ0	A0ACI8TQJ0	Not available	CTC1
A0ACI8TQJ1	A0ACI8TQJ1	Not available	ENSA
A0ACI8TQJ2	A0ACI8TQJ2	Not available	TIMM23
A0ACI8TQJ3	A0ACI8TQJ3	Not available	KIF23
A0ACI8TQJ4	A0ACI8TQJ4	Not available	ZBTB8OS
A0ACI8TQJ5	A0ACI8TQJ5	Not available	PTBP3
A0ACI8TQJ6	A0ACI8TQJ6	Not available	NDUFS6
A0ACI8TQJ8	A0ACI8TQJ8	Not available	EIF3D
A0ACI8TQJ9	A0ACI8TQJ9	Not available	NDUFS6
A0ACI8TQK0	A0ACI8TQK0	Not available	PSME3
A0ACI8TQK1	A0ACI8TQK1	Not available	NDUFS6
A0ACI8TQK2	A0ACI8TQK2	Not available	ELP1
A0ACI8TQK3	A0ACI8TQK3	Not available	TIMM23
A0ACI8TQK4	A0ACI8TQK4	Not available	IFT52
A0ACI8TQK5	A0ACI8TQK5	Not available	CDC123
A0ACI8TQK7	A0ACI8TQK7	Not available	ARHGEF10L
A0ACI8TQK8	A0ACI8TQK8	Not available	CCDC22
A0ACI8TQK9	A0ACI8TQK9	Not available	PSMA5
A0ACI8TQL0	A0ACI8TQL0	Not available	SCARF1
A0ACI8TQL1	A0ACI8TQL1	Not available	TLN2
A0ACI8TQL2	A0ACI8TQL2	Not available	CCDC22
A0ACI8TQL3	A0ACI8TQL3	Not available	PKM
A0ACI8TQL4	A0ACI8TQL4	Not available	TATDN1
A0ACI8TQL5	A0ACI8TQL5	Not available	CNOT3
A0ACI8TQL6	A0ACI8TQL6	Not available	DHX35
A0ACI8TQL7	A0ACI8TQL7	Not available	RPS8
A0ACI8TQL8	A0ACI8TQL8	Not available	PITPNM1
A0ACI8TQL9	A0ACI8TQL9	Not available	CXXC1
A0ACI8TQM0	A0ACI8TQM0	Not available	PKN2
A0ACI8TQM1	A0ACI8TQM1	Not available	PMEL
A0ACI8TQM2	A0ACI8TQM2	Not available	RPS8
A0ACI8TQM3	A0ACI8TQM3	Not available	NDUFS4
A0ACI8TQM4	A0ACI8TQM4	Not available	BAIAP2L1
A0ACI8TQM5	A0ACI8TQM5	Not available	EDEM2
A0ACI8TQM6	A0ACI8TQM6	Not available	ABHD17C
A0ACI8TQM7	A0ACI8TQM7	Not available	ARHGEF10L
A0ACI8TQM8	A0ACI8TQM8	Not available	MRTO4
A0ACI8TQN0	A0ACI8TQN0	Not available	USP11
A0ACI8TQN1	A0ACI8TQN1	Not available	CCDC22
A0ACI8TQN2	A0ACI8TQN2	Not available	RPL35
A0ACI8TQN3	A0ACI8TQN3	Not available	TEX2
A0ACI8TQN5	A0ACI8TQN5	Not available	TIMM23
A0ACI8TQN6	A0ACI8TQN6	Not available	MASTL
A0ACI8TQN7	A0ACI8TQN7	Not available	PSME3
A0ACI8TQN8	A0ACI8TQN8	Not available	C4orf46
A0ACI8TQP0	A0ACI8TQP0	Not available	COL16A1
A0ACI8TQP1	A0ACI8TQP1	Not available	MASTL
A0ACI8TQP2	A0ACI8TQP2	Not available	MRPL28
A0ACI8TQP3	A0ACI8TQP3	Not available	MRPL58
A0ACI8TQP4	A0ACI8TQP4	Not available	ATG13
A0ACI8TQP5	A0ACI8TQP5	Not available	PSME4
A0ACI8TQP6	A0ACI8TQP6	Not available	SH3BP2
A0ACI8TQP7	A0ACI8TQP7	Not available	CDC123
A0ACI8TQP8	A0ACI8TQP8	Not available	HAUS4
A0ACI8TQP9	A0ACI8TQP9	Not available	POLQ
A0ACI8TQQ0	A0ACI8TQQ0	Not available	RPL11
A0ACI8TQQ1	A0ACI8TQQ1	Not available	BOP1
A0ACI8TQQ4	A0ACI8TQQ4	Not available	ARHGEF10L
A0ACI8TQQ5	A0ACI8TQQ5	Not available	CTC1
A0ACI8TQQ6	A0ACI8TQQ6	Not available	KIF23
A0ACI8TQQ7	A0ACI8TQQ7	Not available	EXOSC8
A0ACI8TQQ8	A0ACI8TQQ8	Not available	CNOT3
A0ACI8TQQ9	A0ACI8TQQ9	Not available	HIP1R
A0ACI8TQR0	A0ACI8TQR0	Not available	FDXR
A0ACI8TQR1	A0ACI8TQR1	Not available	NECAB2
A0ACI8TQR2	A0ACI8TQR2	Not available	TMEM37
A0ACI8TQR3	A0ACI8TQR3	Not available	ARHGEF10L
A0ACI8TQR4	A0ACI8TQR4	Not available	MRTFB
A0ACI8TQR6	A0ACI8TQR6	Not available	TPX2
A0ACI8TQR7	A0ACI8TQR7	Not available	ATG13
A0ACI8TQR8	A0ACI8TQR8	Not available	MAP3K9
A0ACI8TQR9	A0ACI8TQR9	Not available	NECAB2
A0ACI8TQS0	A0ACI8TQS0	Not available	NECAB2
A0ACI8TQS1	A0ACI8TQS1	Not available	ATXN2L
A0ACI8TQS2	A0ACI8TQS2	Not available	CHD7
A0ACI8TQS3	A0ACI8TQS3	Not available	ADAT2
A0ACI8TQS4	A0ACI8TQS4	Not available	SPATS2
A0ACI8TQS5	A0ACI8TQS5	Not available	THUMPD2
A0ACI8TQS6	A0ACI8TQS6	Not available	CSE1L
A0ACI8TQS7	A0ACI8TQS7	Not available	MAP3K9
A0ACI8TQS8	A0ACI8TQS8	Not available	TEX2
A0ACI8TQS9	A0ACI8TQS9	Not available	RPS8
A0ACI8TQT0	A0ACI8TQT0	Not available	TXNDC5
A0ACI8TQT2	A0ACI8TQT2	Not available	KBTBD3
A0ACI8TQT3	A0ACI8TQT3	Not available	NAPRT
A0ACI8TQT4	A0ACI8TQT4	Not available	MASTL
A0ACI8TQT5	A0ACI8TQT5	Not available	TPX2
A0ACI8TQT7	A0ACI8TQT7	Not available	SEC24B
A0ACI8TQT8	A0ACI8TQT8	Not available	SIRT7
A0ACI8TQT9	A0ACI8TQT9	Not available	FGD1
A0ACI8TQU0	A0ACI8TQU0	Not available	SIRT7
A0ACI8TQU1	A0ACI8TQU1	Not available	SLK
A0ACI8TQU3	A0ACI8TQU3	Not available	NDUFS6
A0ACI8TQU4	A0ACI8TQU4	Not available	FGD1
A0ACI8TQU5	A0ACI8TQU5	Not available	FGD1
A0ACI8TQU6	A0ACI8TQU6	Not available	PTBP3
A0ACI8TQU7	A0ACI8TQU7	Not available	PRKRIP1
A0ACI8TQU8	A0ACI8TQU8	Not available	PSMA5
A0ACI8TQU9	A0ACI8TQU9	Not available	SPATS2
A0ACI8TQV0	A0ACI8TQV0	Not available	FDXR
A0ACI8TQV1	A0ACI8TQV1	Not available	CXXC1
A0ACI8TQV2	A0ACI8TQV2	Not available	CSE1L
A0ACI8TQV3	A0ACI8TQV3	Not available	CSE1L
A0ACI8TQV4	A0ACI8TQV4	Not available	PUF60
A0ACI8TQV5	A0ACI8TQV5	Not available	ZNF76
A0ACI8TQV7	A0ACI8TQV7	Not available	LUC7L2
A0ACI8TQV8	A0ACI8TQV8	Not available	PUF60
A0ACI8TQV9	A0ACI8TQV9	Not available	PLEKHG4
A0ACI8TQW0	A0ACI8TQW0	Not available	TCTA
A0ACI8TQW1	A0ACI8TQW1	Not available	CENPE
A0ACI8TQW2	A0ACI8TQW2	Not available	PUF60
A0ACI8TQW3	A0ACI8TQW3	Not available	PUF60
A0ACI8TQW4	A0ACI8TQW4	Not available	FNDC4
A0ACI8TQW5	A0ACI8TQW5	Not available	ZBTB8OS
A0ACI8TQW7	A0ACI8TQW7	Not available	NAPRT
A0ACI8TQW8	A0ACI8TQW8	Not available	TIMM23
A0ACI8TQW9	A0ACI8TQW9	Not available	HDAC1
A0ACI8TQX0	A0ACI8TQX0	Not available	CDIPT
A0ACI8TQX1	A0ACI8TQX1	Not available	POLQ
A0ACI8TQX2	A0ACI8TQX2	Not available	CSE1L
A0ACI8TQX3	A0ACI8TQX3	Not available	PRKRIP1
A0ACI8TQX5	A0ACI8TQX5	Not available	SH3BP2
A0ACI8TQX6	A0ACI8TQX6	Not available	CUX2
A0ACI8TQX7	A0ACI8TQX7	Not available	UGP2
A0ACI8TQX8	A0ACI8TQX8	Not available	VPS25
A0ACI8TQX9	A0ACI8TQX9	Not available	CNOT9
A0ACI8TQY0	A0ACI8TQY0	Not available	MIB2
A0ACI8TQY1	A0ACI8TQY1	Not available	CCDC22
A0ACI8TQY2	A0ACI8TQY2	Not available	VPS41
A0ACI8TQY3	A0ACI8TQY3	Not available	MED6
A0ACI8TQY4	A0ACI8TQY4	Not available	FBP1
A0ACI8TQY5	A0ACI8TQY5	Not available	CHD7
A0ACI8TQY6	A0ACI8TQY6	Not available	PIBF1
A0ACI8TQY7	A0ACI8TQY7	Not available	PCK2
A0ACI8TQY8	A0ACI8TQY8	Not available	ARHGEF10L
A0ACI8TQY9	A0ACI8TQY9	Not available	SPATS2
A0ACI8TQZ0	A0ACI8TQZ0	Not available	KDM4C
A0ACI8TQZ1	A0ACI8TQZ1	Not available	MED6
A0ACI8TQZ2	A0ACI8TQZ2	Not available	CTC1
A0ACI8TQZ3	A0ACI8TQZ3	Not available	FGFR4
A0ACI8TQZ4	A0ACI8TQZ4	Not available	FN1
A0ACI8TQZ5	A0ACI8TQZ5	Not available	HIP1R
A0ACI8TQZ6	A0ACI8TQZ6	Not available	VPS25
A0ACI8TQZ8	A0ACI8TQZ8	Not available	MTRF1
A0ACI8TR00	A0ACI8TR00	Not available	RCN3
A0ACI8TR02	A0ACI8TR02	Not available	TRIM38
A0ACI8TR03	A0ACI8TR03	Not available	PPHLN1
A0ACI8TR04	A0ACI8TR04	Not available	SLC17A5
A0ACI8TR06	A0ACI8TR06	Not available	ZBTB8OS
A0ACI8TR07	A0ACI8TR07	Not available	ZBTB8OS
A0ACI8TR08	A0ACI8TR08	Not available	CGB8
A0ACI8TR09	A0ACI8TR09	Not available	RAPGEF6
A0ACI8TR11	A0ACI8TR11	Not available	MAP9
A0ACI8TR13	A0ACI8TR13	Not available	POLA1
A0ACI8TR16	A0ACI8TR16	Not available	FGD1
A0ACI8TR18	A0ACI8TR18	Not available	MASTL
A0ACI8TR19	A0ACI8TR19	Not available	CSE1L
A0ACI8TR22	A0ACI8TR22	Not available	HMBS
A0ACI8TR23	A0ACI8TR23	Not available	TM9SF1
A0ACI8TR24	A0ACI8TR24	Not available	EEFSEC
A0ACI8TR25	A0ACI8TR25	Not available	NSUN5
A0ACI8TR26	A0ACI8TR26	Not available	CIBAR1
A0ACI8TR27	A0ACI8TR27	Not available	RPS8
A0ACI8TR28	A0ACI8TR28	Not available	VDAC2
A0ACI8TR29	A0ACI8TR29	Not available	HDAC1
A0ACI8TR31	A0ACI8TR31	Not available	PUF60
A0ACI8TR32	A0ACI8TR32	Not available	MANEA
A0ACI8TR33	A0ACI8TR33	Not available	CHN1
A0ACI8TR34	A0ACI8TR34	Not available	ZBTB8OS
A0ACI8TR36	A0ACI8TR36	Not available	MAP9
A0ACI8TR38	A0ACI8TR38	Not available	CUX2
A0ACI8TR40	A0ACI8TR40	Not available	DIDO1
A0ACI8TR41	A0ACI8TR41	Not available	ZNF76
A0ACI8TR42	A0ACI8TR42	Not available	CXXC1
A0ACI8TR43	A0ACI8TR43	Not available	TCF12
A0ACI8TR44	A0ACI8TR44	Not available	POLQ
A0ACI8TR45	A0ACI8TR45	Not available	CIBAR1
A0ACI8TR46	A0ACI8TR46	Not available	CNOT9
A0ACI8TR47	A0ACI8TR47	Not available	ARHGAP28
A0ACI8TR48	A0ACI8TR48	Not available	PKM
A0ACI8TR49	A0ACI8TR49	Not available	BAZ1A
A0ACI8TR50	A0ACI8TR50	Not available	NAE1
A0ACI8TR51	A0ACI8TR51	Not available	NAE1
A0ACI8TR52	A0ACI8TR52	Not available	NAE1
A0ACI8TR53	A0ACI8TR53	Not available	TCF12
A0ACI8TR55	A0ACI8TR55	Not available	KIF23
A0ACI8TR56	A0ACI8TR56	Not available	RPL11
A0ACI8TR57	A0ACI8TR57	Not available	NUDT22
A0ACI8TR58	A0ACI8TR58	Not available	MRPL28
A0ACI8TR59	A0ACI8TR59	Not available	NSUN5
A0ACI8TR60	A0ACI8TR60	Not available	NAE1
A0ACI8TR62	A0ACI8TR62	Not available	BCL2L12
A0ACI8TR63	A0ACI8TR63	Not available	RPA1
A0ACI8TR64	A0ACI8TR64	Not available	KIF23
A0ACI8TR65	A0ACI8TR65	Not available	COL9A3
A0ACI8TR66	A0ACI8TR66	Not available	ZBTB8OS
A0ACI8TR67	A0ACI8TR67	Not available	PDSS2
A0ACI8TR68	A0ACI8TR68	Not available	PRKD3
A0ACI8TR69	A0ACI8TR69	Not available	CENPE
A0ACI8TR70	A0ACI8TR70	Not available	ARVCF
A0ACI8TR71	A0ACI8TR71	Not available	NABP2
A0ACI8TR72	A0ACI8TR72	Not available	PSME3
A0ACI8TR74	A0ACI8TR74	Not available	THUMPD2
A0ACI8TR75	A0ACI8TR75	Not available	SPATS2
A0ACI8TR76	A0ACI8TR76	Not available	SIX2
A0ACI8TR77	A0ACI8TR77	Not available	CXXC1
A0ACI8TR78	A0ACI8TR78	Not available	COL9A3
A0ACI8TR79	A0ACI8TR79	Not available	CXXC1
A0ACI8TR80	A0ACI8TR80	Not available	FGFR4
A0ACI8TR81	A0ACI8TR81	Not available	COQ9
A0ACI8TR82	A0ACI8TR82	Not available	NUDT22
A0ACI8TR83	A0ACI8TR83	Not available	CDCA8
A0ACI8TR84	A0ACI8TR84	Not available	CDCA8
A0ACI8TR85	A0ACI8TR85	Not available	ATG2A
A0ACI8TR86	A0ACI8TR86	Not available	ZBTB8OS
A0ACI8TR87	A0ACI8TR87	Not available	TOPBP1
A0ACI8TR88	A0ACI8TR88	Not available	PUF60
A0ACI8TR89	A0ACI8TR89	Not available	FANCE
A0ACI8TR90	A0ACI8TR90	Not available	EDEM2
A0ACI8TR91	A0ACI8TR91	Not available	FANCE
A0ACI8TR92	A0ACI8TR92	Not available	RPA1
A0ACI8TR93	A0ACI8TR93	Not available	CXXC1
A0ACI8TR94	A0ACI8TR94	Not available	RPL11
A0ACI8TR95	A0ACI8TR95	Not available	CDCA8
A0ACI8TR96	A0ACI8TR96	Not available	CNOT3
A0ACI8TR97	A0ACI8TR97	Not available	FANCE
A0ACI8TR99	A0ACI8TR99	Not available	PSMA5
