Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
TGM4,7047,chr3,44916098,44956088,2999,+,NM_003241,protein_coding,FLJ26776|TGP|hTGP,P13873,transglutaminase 4
TGM5,9333,chr15,43524793,43559055,2767,-,NM_201631,protein_coding,MGC141907|TGASE5|TGASEX|TGM6|TGMX|TGX,P30293,transglutaminase 5
TGM6,343641,chr20,2361554,2413399,2292,+,NM_198994,protein_coding,TGM3L|TGY|dJ734P14.3,P36234,transglutaminase 6
TGM7,116179,chr15,43568479,43594453,2312,-,NM_052955,protein_coding,TGMZ,P16907,transglutaminase 7
TGOLN2,10618,chr2,85545141,85555419,6192,-,NM_006464,protein_coding,MGC14722|TGN38|TGN46|TGN48|TGN51|TTGN2,P20941,trans-golgi network protein 2
TGS1,96764,chr8,56685791,56738005,3692,+,NM_024831,protein_coding,DKFZp762A163|FLJ22995|NCOA6IP|PIMT|PIPMT,P18545,trimethylguanosine synthase 1
TH,7054,chr11,2185159,2193035,2019,-,NM_199293,protein_coding,DYT14|DYT5b|TYH,P18678,tyrosine hydroxylase
TH2LCRR,101927761,chr5,131966281,131991846,1037,-,NR_132124,lncRNA,.,.,T helper type 2 locus control region associated RNA
THADA,63892,chr2,43457975,43823185,7169,-,NR_073394,protein_coding,FLJ21877|FLJ44016|FLJ44876|FLJ77530|GITA|KIAA1767,.,"THADA, armadillo repeat containing"
THAP1,55145,chr8,42691817,42698474,2167,-,NM_018105,protein_coding,DYT6|FLJ10477|MGC33014,P10768,"THAP domain containing, apoptosis associated protein 1"
THAP10,56906,chr15,71173681,71184772,2047,-,NM_020147,protein_coding,.,P9811,THAP domain containing 10
THAP11,57215,chr16,67876213,67878098,1886,+,NM_020457,protein_coding,CTG-B43a|CTG-B45d|RONIN,P36098,THAP domain containing 11
THAP2,83591,chr12,72057677,72074428,4840,+,NM_031435,protein_coding,DKFZp564I0422,P11474,"THAP domain containing, apoptosis associated protein 2"
THAP3,90326,chr1,6684925,6695646,3140,+,NM_001195753,protein_coding,MGC33488,P25790,"THAP domain containing, apoptosis associated protein 3"
THAP4,51078,chr2,242523820,242576725,2318,-,NM_015963,protein_coding,PP238,P36238,THAP domain containing 4
THAP5,168451,chr7,108202588,108210212,3860,-,NM_001287601,protein_coding,DKFZp313O1132,P19239,THAP domain containing 5
THAP6,152815,chr4,76439654,76455236,3578,+,NM_144721,protein_coding,MGC30052,P33084,THAP domain containing 6
THAP7,80764,chr22,21354061,21356404,1068,-,NM_001008695,protein_coding,MGC10963,P3074,THAP domain containing 7
THAP7-AS1,439931,chr22,21356211,21364663,2971,+,NR_027052,lncRNA,.,.,THAP7 antisense RNA 1
THAP8,199745,chr19,36525887,36545664,1825,-,NM_152658,protein_coding,FLJ32891,P28537,THAP domain containing 8
THAP9,79725,chr4,83821837,83841284,4038,+,NM_024672,protein_coding,FLJ23320|FLJ34093,P1072,THAP domain containing 9
THAP9-AS1,100499177,chr4,83814605,83822069,2308,-,NR_034075,lncRNA,.,.,THAP9 antisense RNA 1
THBD,7056,chr20,23026270,23030301,4032,-,NM_000361,protein_coding,AHUS6|CD141|THRM|TM,P31057,thrombomodulin
THBS1,7057,chr15,39873280,39891121,7243,+,NM_003246,protein_coding,THBS|THBS-1|TSP|TSP-1|TSP1,P726,thrombospondin 1
THBS2,7058,chr6,169615875,169654209,5881,-,NM_003247,protein_coding,TSP2,P15327,thrombospondin 2
THBS3,7059,chr1,155165379,155177772,3443,-,NM_007112,protein_coding,MGC119564|MGC119565|TSP3,P6303,thrombospondin 3
THBS4,7060,chr5,79287119,79379107,3584,+,NM_001306213,protein_coding,TSP4,P10683,thrombospondin 4
THCAT155,100129223,chr12,3592878,3601985,5979,-,NR_126055,lncRNA,.,.,thyroid cancer-associated transcript 155
THCAT158,102724508,chr17,45380812,45401267,776,-,NR_110880,lncRNA,.,.,thyroid cancer-associated transcript 158
THEG,51298,chr19,362057,376013,1326,-,NM_016585,protein_coding,CT56|MGC26138,P27564,theg spermatid protein
THEG5,100507527,chr19,32079095,32084456,2683,+,NM_001278578,protein_coding,.,P19690,testis highly expressed protein 5
THEGL,100506564,chr4,57396775,57469489,1466,+,NM_001256475,protein_coding,.,P15109,theg spermatid protein-like
THEM4,117145,chr1,151843343,151882361,5171,-,NM_053055,protein_coding,CTMP|MGC29636,P35144,thioesterase superfamily member 4
THEM5,284486,chr1,151819577,151826173,1146,-,NM_182578,protein_coding,FLJ37964|MGC126659|MGC138444,P21037,thioesterase superfamily member 5
THEM6,51337,chr8,143808621,143818350,2264,+,NM_016647,protein_coding,.,P22093,thioesterase superfamily member 6
THEMIS,387357,chr6,128029339,128239776,4187,-,NM_001164685,protein_coding,C6orf190|C6orf207|FLJ40584|MGC163388|TSEPA|bA325O24.3|bA325O24.4,P16530,thymocyte selection associated
THEMIS2,9473,chr1,28199054,28213196,2822,+,NM_001039477,protein_coding,.,P14657,thymocyte selection associated family member 2
THG1L,54974,chr5,157158323,157166772,1305,+,NM_017872,protein_coding,FLJ11601|FLJ20546|ICF45,P8601,tRNA-histidine guanylyltransferase 1 like
THNSL1,79896,chr10,25305508,25315593,3770,+,NM_024838,protein_coding,FLJ22002|TSH1,P19759,threonine synthase like 1
THNSL2,55258,chr2,88469814,88486156,2317,+,NM_001244678,protein_coding,FLJ10916|THS2|TSH2,P31975,threonine synthase like 2
THOC1,9984,chr18,214520,268059,2120,-,NM_005131,protein_coding,HPR1|P84|P84N5,P31982,THO complex 1
THOC2,57187,chrX,122734412,122866904,5610,-,NM_001081550,protein_coding,CXorf3|THO2|dJ506G2.1|hTREX120,P11395,THO complex 2
THOC3,84321,chr5,175386534,175395318,1601,-,NM_032361,protein_coding,MGC5469|TEX1,P4911,THO complex 3
THOC5,8563,chr22,29904156,29949736,2754,-,NM_001002878,protein_coding,C22orf19|Fmip|PK1.3|fSAP79,P33680,THO complex 5
THOC6,79228,chr16,3074032,3077756,1420,+,NM_001142350,protein_coding,MGC2655|WDR58|fSAP35,P21920,THO complex 6
THOC7,80145,chr3,63819546,63849599,1293,-,NM_001285404,protein_coding,FLJ23445|NIF3L1BP1|fSAP24,P8579,THO complex 7
THOC7-AS1,100874039,chr3,63846321,63847495,673,+,NR_104326,lncRNA,.,.,THOC7 antisense RNA 1
THOP1,7064,chr19,2785506,2813599,2363,+,NM_003249,protein_coding,EP24.15|MEPD_HUMAN|MP78|TOP,P18063,thimet oligopeptidase 1
THPO,7066,chr3,184089723,184097476,1901,-,NM_001290027,protein_coding,MGC163194|MGDF|MKCSF|ML|MPLLG|TPO,P20254,thrombopoietin
THRA,7067,chr17,38218446,38250120,3523,+,NM_001190919,protein_coding,AR7|EAR7|ERB-T-1|ERBA|ERBA1|MGC000261|MGC43240|NR1A1|THRA1|THRA2|c-ERBA-1,P18474,"thyroid hormone receptor, alpha"
THRA1/BTR,105371807,chr17,46371709,46385191,728,+,NR_131239,lncRNA,.,.,uncharacterized LOC105371807
THRAP3,9967,chr1,36690017,36770957,4431,+,NM_005119,protein_coding,FLJ22082|MGC133082|MGC133083|TRAP150,P2350,thyroid hormone receptor associated protein 3
THRB,7068,chr3,24158645,24536313,7772,-,NM_001128176,protein_coding,ERBA-BETA|ERBA2|GRTH|MGC126109|MGC126110|NR1A2|PRTH|THR1|THRB1|THRB2,P225,thyroid hormone receptor beta
THRB-AS1,644990,chr3,24535578,24541502,885,+,NR_046244,lncRNA,.,.,THRB antisense RNA 1
THRIL,102659353,chr12,125509989,125511969,1981,-,NR_110375,lncRNA,.,.,TNF and HNRNPL related immunoregulatory long non-coding RNA
THRSP,7069,chr11,77774907,77779403,1180,+,NM_003251,protein_coding,LPGP1|Lpgp|MGC21659|S14|SPOT14,P31732,thyroid hormone responsive
THSD1,55901,chr13,52951303,52980629,3347,-,NM_018676,protein_coding,MGC74971|TMTSP|UNQ3010,P23236,thrombospondin type 1 domain containing 1
THSD4,79875,chr15,71433788,72075722,9425,+,NM_024817,protein_coding,ADAMTSL6|FLJ13710|FVSY9334|PRO34005,P18780,thrombospondin type 1 domain containing 4
THSD4-AS1,101929196,chr15,71459151,71481398,917,-,NR_120348,lncRNA,.,.,THSD4 antisense RNA 1
THSD4-AS2,101929173,chr15,71981040,71983878,2139,-,NR_120346,lncRNA,.,.,THSD4 antisense RNA 2
THSD7A,221981,chr7,11410062,11871824,10585,-,NM_015204,protein_coding,KIAA0960,P7199,thrombospondin type 1 domain containing 7A
THSD7B,80731,chr2,137748462,138435287,5845,+,NM_001080427,protein_coding,KIAA1679,P12062,thrombospondin type 1 domain containing 7B
THTPA,79178,chr14,23980969,24028790,2006,+,NR_046051,protein_coding,MGC2652|THTP|THTPASE,.,thiamine triphosphatase
THUMPD1,55623,chr16,20744986,20753286,4002,-,NM_001304550,protein_coding,DKFZp686C1054,P25597,THUMP domain containing 1
THUMPD2,80745,chr2,39963200,40006416,2345,-,NM_025264,protein_coding,C2orf8|MGC2454,P11247,THUMP domain containing 2
THUMPD3,25917,chr3,9404717,9428475,3775,+,NM_001114092,protein_coding,DKFZp434F091,P17944,THUMP domain containing 3
THUMPD3-AS1,440944,chr3,9430537,9439174,1860,-,NR_027007,lncRNA,.,.,THUMPD3 antisense RNA 1
THY1,7070,chr11,119288655,119294246,2397,-,NM_006288,protein_coding,CD90|FLJ33325,P21105,Thy-1 cell surface antigen
THYN1,29087,chr11,134118173,134123260,1079,-,NM_001037304,protein_coding,MDS012|MGC12187|MY105|THY28|THY28KD,P25552,thymocyte nuclear protein 1
TIA1,7072,chr2,70436576,70475779,4653,-,NM_022037,protein_coding,TIA-1,P13854,TIA1 cytotoxic granule-associated RNA binding protein
TIAF1,9220,chr17,27400539,27402627,2089,-,NM_004740,protein_coding,MAJN|SPR210,P14926,TGFB1-induced anti-apoptotic factor 1
TIAL1,7073,chr10,121332978,121356541,3891,-,NM_001033925,protein_coding,MGC33401|TCBP|TIAR,P32854,TIA1 cytotoxic granule-associated RNA binding protein-like 1
TIAM1,7074,chr21,32490736,32931290,7198,-,NM_003253,protein_coding,FLJ36302,P25949,T-cell lymphoma invasion and metastasis 1
TIAM2,26230,chr6,155411423,155578857,6044,+,NM_012454,protein_coding,FLJ41865|STEF|TIAM-2,P5388,T-cell lymphoma invasion and metastasis 2
TICAM1,148022,chr19,4815936,4831754,2722,-,NM_182919,protein_coding,MGC35334|PRVTIRB|TICAM-1|TRIF,P4390,toll like receptor adaptor molecule 1
TICAM2,353376,chr5,114914193,114938176,3203,-,NM_021649,protein_coding,MGC129876|MGC129877|TIRAP3|TIRP|TRAM,P5913,toll like receptor adaptor molecule 2
TICRR,90381,chr15,90118818,90171253,6908,+,NM_152259,protein_coding,.,P9274,TOPBP1 interacting checkpoint and replication regulator
TIE1,7075,chr1,43766566,43788781,4214,+,NM_001253357,protein_coding,JTK14|TIE,P6306,tyrosine kinase with immunoglobulin like and EGF like domains 1
TIFA,92610,chr4,113196782,113207059,3073,-,NM_052864,protein_coding,MGC20791|T2BP|T6BP|TIFAA,P2555,TRAF interacting protein with forkhead associated domain
TIFAB,497189,chr5,134784558,134788089,1273,-,NM_001099221,protein_coding,FLJ00292,P27028,TIFA inhibitor
TIGAR,57103,chr12,4430359,4469190,8225,+,NM_020375,protein_coding,.,P14636,TP53 induced glycolysis regulatory phosphatase
TIGD1,200765,chr2,233412680,233415300,2621,-,NM_145702,protein_coding,EEYORE,P19853,tigger transposable element derived 1
TIGD2,166815,chr4,90033968,90036052,2085,+,NM_145715,protein_coding,DKFZp667D1322,P23266,tigger transposable element derived 2
TIGD3,220359,chr11,65122282,65125082,1966,+,NM_145719,protein_coding,.,P2748,tigger transposable element derived 3
TIGD4,201798,chr4,153690506,153700916,2472,-,NM_145720,protein_coding,MGC43837,P17673,tigger transposable element derived 4
TIGD5,84948,chr8,144680074,144682485,2412,+,NM_032862,protein_coding,FLJ14926|MGC44883,P18959,tigger transposable element derived 5
TIGD6,81789,chr5,149372686,149380730,4682,-,NM_001243253,protein_coding,DKFZp761E2110,P15280,tigger transposable element derived 6
TIGD7,91151,chr16,3348808,3355439,3430,-,NM_033208,protein_coding,Sancho,P18481,tigger transposable element derived 7
TIGIT,201633,chr3,114012833,114029135,2968,+,NM_173799,protein_coding,DKFZp667A205|FLJ39873|VSIG9|VSTM3|WUCAM,P33361,T-cell immunoreceptor with Ig and ITIM domains
TIMD4,91937,chr5,156346293,156390266,1369,-,NM_001146726,protein_coding,FLJ27515|SMUCKLER|TIM4,P11466,T-cell immunoglobulin and mucin domain containing 4
TIMELESS,8914,chr12,56810157,56843200,5138,-,NM_003920,protein_coding,FLJ12640|FLJ20714|TIM|TIM1|hTIM,P17355,timeless circadian clock
TIMM10,26519,chr11,57295936,57298232,674,-,NM_012456,protein_coding,TIM10|TIM10A,P30207,translocase of inner mitochondrial membrane 10 homolog (yeast)
TIMM10B,26515,chr11,6502677,6505911,2842,+,NM_012192,protein_coding,.,P29743,translocase of inner mitochondrial membrane 10 homolog B (yeast)
TIMM13,26517,chr19,2425622,2427914,1995,-,NM_012458,protein_coding,TIM13|TIM13B|TIMM13A|TIMM13B|ppv1,P5116,translocase of inner mitochondrial membrane 13
TIMM17A,10440,chr1,201924619,201939789,1659,+,NM_006335,protein_coding,TIM17|TIM17A,P21143,translocase of inner mitochondrial membrane 17 homolog A (yeast)
TIMM17B,10245,chrX,48750730,48755426,1100,-,NM_005834,protein_coding,DXS9822|TIM17B,P9654,translocase of inner mitochondrial membrane 17 homolog B (yeast)
TIMM21,29090,chr18,71815746,71826204,1534,+,NM_014177,protein_coding,.,P29483,translocase of inner mitochondrial membrane 21
TIMM22,29928,chr17,900357,905390,1673,+,NM_013337,protein_coding,TEX4|TIM22,P10987,translocase of inner mitochondrial membrane 22 homolog (yeast)
TIMM23,100287932,chr10,51592081,51623386,1349,-,NR_073030,protein_coding,FLJ40725|FLJ56773|FLJ57459|FLJ79448|MGC71995|MGC87383|TIM23,.,translocase of inner mitochondrial membrane 23
TIMM23B,100652748,chr10,51371379,51734610,2639,+,NR_110767,protein_coding,.,.,translocase of inner mitochondrial membrane 23 homolog B
TIMM44,10469,chr19,7991603,8008708,2000,-,NM_006351,protein_coding,DKFZp686H05241|TIM44,P9615,translocase of inner mitochondrial membrane 44
TIMM50,92609,chr19,39971052,39981528,2572,+,NM_001001563,protein_coding,MGC102733|TIM50|TIM50L,P9720,translocase of inner mitochondrial membrane 50
TIMM8A,1678,chrX,100600644,100603708,1557,-,NM_004085,protein_coding,DDP|DDP1|DFN1|MGC12262|MTS|TIM8,P12216,translocase of inner mitochondrial membrane 8 homolog A (yeast)
TIMM8B,26521,chr11,111955539,111957522,1140,-,NR_028383,protein_coding,DDP2|FLJ21744|MGC102866|MGC117373|TIM8B,.,translocase of inner mitochondrial membrane 8 homolog B (yeast)
TIMM9,26520,chr14,58875212,58894332,2285,-,NR_130751,protein_coding,TIM9|TIM9A,.,translocase of inner mitochondrial membrane 9
TIMMDC1,51300,chr3,119217368,119243125,1593,+,NM_016589,protein_coding,.,P15592,translocase of inner mitochondrial membrane domain containing 1
TIMP1,7076,chrX,47441690,47446190,916,+,NM_003254,protein_coding,CLGI|EPA|EPO|FLJ90373|HCI|TIMP,P28145,TIMP metallopeptidase inhibitor 1
TIMP2,7077,chr17,76849059,76921472,3655,-,NM_003255,protein_coding,CSC-21K,P12638,TIMP metallopeptidase inhibitor 2
TIMP3,7078,chr22,33196802,33259028,5486,+,NM_000362,protein_coding,HSMRK222|K222|K222TA2|SFD,P10215,TIMP metallopeptidase inhibitor 3
TIMP4,7079,chr3,12194568,12200851,1633,-,NM_003256,protein_coding,.,P1561,TIMP metallopeptidase inhibitor 4
TINAG,27283,chr6,54173203,54254950,1804,+,NM_014464,protein_coding,TIN-AG,P11401,tubulointerstitial nephritis antigen
TINAGL1,64129,chr1,32042086,32053287,2281,+,NM_001204414,protein_coding,ARG1|LCN7|LIECG3|TINAGRP,P14136,tubulointerstitial nephritis antigen like 1
TINCR,257000,chr19,5558178,5568045,3733,-,NR_027064,lncRNA,.,.,tissue differentiation-inducing non-protein coding RNA
TINF2,26277,chr14,24708851,24711880,1850,-,NM_001099274,protein_coding,TIN2,P31513,TERF1 (TRF1)-interacting nuclear factor 2
TIPARP,25976,chr3,156392205,156424557,4530,+,NM_015508,protein_coding,DKFZp434J214|DKFZp686N0351|DKFZp686P1838|FLJ40466|PARP7|pART14,P8132,TCDD inducible poly(ADP-ribose) polymerase
TIPARP-AS1,100287227,chr3,156390960,156393502,2543,-,NR_027954,lncRNA,.,.,TIPARP antisense RNA 1
TIPIN,54962,chr15,66629008,66649054,1280,-,NM_001289986,protein_coding,FLJ20516,P34337,TIMELESS interacting protein
TIPRL,261726,chr1,168148083,168171351,3307,+,NM_001031800,protein_coding,MGC3794|TIP|TIP41|dJ69E11.3,P4879,TOR signaling pathway regulator
TIRAP,114609,chr11,126152982,126164828,2348,+,NM_148910,protein_coding,FLJ42305|Mal|wyatt,P27836,toll-interleukin 1 receptor (TIR) domain containing adaptor protein
TISP43,150527,chr2,131294143,131341734,6281,-,NR_027313,misc_RNA,.,.,uncharacterized LOC150527
TJAP1,93643,chr6,43445261,43474294,3332,+,NM_001146019,protein_coding,DKFZp686F06131|PILT|TJP4,P4134,tight junction associated protein 1
TJP1,7082,chr15,29991571,30261002,8641,-,NM_175610,protein_coding,DKFZp686M05161|MGC133289|ZO-1,P20090,tight junction protein 1
TJP2,9414,chr9,71736180,71870124,5324,+,NM_001170414,protein_coding,MGC26306|X104|ZO2,P35435,tight junction protein 2
TJP3,27134,chr19,3708335,3750811,3335,+,NM_001267560,protein_coding,MGC119546|ZO-3|ZO3,P28637,tight junction protein 3
TK1,7083,chr17,76170160,76183285,1595,-,NM_003258,protein_coding,TK2,P16242,thymidine kinase 1
TK2,7084,chr16,66541906,66584315,5497,-,NM_001271934,protein_coding,MTTK,P5118,"thymidine kinase 2, mitochondrial"
TKFC,26007,chr11,61100654,61116231,4241,+,NM_015533,protein_coding,.,P27753,triokinase and FMN cyclase
TKT,7086,chr3,53258723,53290130,3161,-,NM_001135055,protein_coding,FLJ34765|TK|TKT1,P22142,transketolase
TKTL1,8277,chrX,153524027,153558713,3117,+,NM_001145933,protein_coding,TKR|TKT2,P28929,transketolase-like 1
TKTL2,84076,chr4,164392247,164395047,2801,-,NM_032136,protein_coding,DKFZp434L1717|FLJ32975,P21667,transketolase-like 2
TLCD1,116238,chr17,27051366,27053949,1197,-,NM_001160407,protein_coding,.,P3141,TLC domain containing 1
TLCD2,727910,chr17,1606084,1613662,5901,-,NM_001164407,protein_coding,.,P10442,TLC domain containing 2
TLDC1,57707,chr16,84509966,84538288,5031,-,NM_020947,protein_coding,.,P33693,TBC/LysM-associated domain containing 1
TLDC2,140711,chr20,35504524,35522634,2089,+,NM_001304783,protein_coding,.,P33964,TBC/LysM-associated domain containing 2
TLE1,7088,chr9,84198598,84304450,4328,-,NM_001303103,protein_coding,ESG|ESG1|GRG1,P494,transducin like enhancer of split 1
TLE2,7089,chr19,2997636,3047633,2917,-,NM_003260,protein_coding,ESG|ESG2|FLJ41188|GRG2,P26348,transducin like enhancer of split 2
TLE3,7090,chr15,70340130,70390256,6409,-,NM_001282979,protein_coding,ESG|ESG3|FLJ39460|GRG3|HsT18976|KIAA1547,P21705,transducin like enhancer of split 3
TLE4,7091,chr9,82186688,82341796,5603,+,NM_001282748,protein_coding,BCE-1|BCE1|E(spI)|ESG|ESG4|GRG4,P17057,transducin like enhancer of split 4
TLE6,79816,chr19,2977536,2995182,2008,+,NM_001143986,protein_coding,FLJ14009|GRG6|MGC14966,P23872,transducin like enhancer of split 6
TLK1,9874,chr2,171847333,172087824,6032,-,NM_012290,protein_coding,KIAA0137|PKU-beta,P29512,tousled like kinase 1
TLK2,11011,chr17,60556386,60692841,5682,+,NM_006852,protein_coding,MGC44450|PKU-ALPHA,P2564,tousled like kinase 2
TLL1,7092,chr4,166794410,167025609,7777,+,NM_001204760,protein_coding,ASD6|TLL,P8324,tolloid like 1
TLL2,7093,chr10,98124363,98273683,6771,-,NM_012465,protein_coding,KIAA0932|MGC133312|MGC133313,P33733,tolloid-like 2
TLN1,7094,chr9,35697334,35732392,8434,-,NM_006289,protein_coding,ILWEQ|KIAA1027|TLN,P17348,talin 1
TLN2,83660,chr15,62939510,63136829,11649,+,NM_015059,protein_coding,DKFZp451B1011|DKFZp686I0976|DKFZp686K0979|ILWEQ|KIAA0320,P19503,talin 2
TLR1,7096,chr4,38797876,38806412,2851,-,NM_003263,protein_coding,CD281|DKFZp547I0610|DKFZp564I0682|KIAA0012|MGC104956|MGC126311|MGC126312|TIL|TIL. LPRS5|rsc786,P1590,toll like receptor 1
TLR10,81793,chr4,38773860,38784611,3893,-,NM_001195108,protein_coding,CD290|MGC104967|MGC126398|MGC126399,P19290,toll like receptor 10
TLR2,7097,chr4,154605441,154627242,3402,+,NM_003264,protein_coding,CD282|TIL4,P10977,toll like receptor 2
TLR3,7098,chr4,186990309,187006252,3041,+,NM_003265,protein_coding,CD283,P7654,toll like receptor 3
TLR4,7099,chr9,120466453,120479769,5781,+,NM_003266,protein_coding,ARMD10|CD284|TOLL|hToll,P23621,toll like receptor 4
TLR5,7100,chr1,223282748,223316624,4267,-,NM_003268,protein_coding,FLJ10052|MGC126430|MGC126431|SLEB1|TIL3,P31494,toll like receptor 5
TLR6,10333,chr4,38825329,38858438,5887,-,NM_006068,protein_coding,CD286,P16269,toll like receptor 6
TLR7,51284,chrX,12885202,12908480,4992,+,NM_016562,protein_coding,.,P26078,toll like receptor 7
TLR8,51311,chrX,12924739,12941288,4353,+,NM_016610,protein_coding,CD288|MGC119599|MGC119600,P30486,toll like receptor 8
TLR8-AS1,349408,chrX,12920936,12961419,1589,-,NR_030727,lncRNA,.,.,TLR8 antisense RNA 1
TLR9,54106,chr3,52255096,52260179,3870,-,NM_017442,protein_coding,CD289,P23192,toll like receptor 9
TLX1,3195,chr10,102891061,102897546,3229,+,NM_005521,protein_coding,HOX11|MGC163402|TCL3,P33967,T-cell leukemia homeobox 1
TLX1NB,100038246,chr10,102849078,102901023,3392,-,NR_130723,lncRNA,APT-B7|TD1|TDI,.,TLX1 neighbor
TLX2,3196,chr2,74741596,74744275,2152,+,NM_016170,protein_coding,HOX11L1|NCX,P1823,T-cell leukemia homeobox 2
TLX3,30012,chr5,170736288,170739138,1493,+,NM_021025,protein_coding,HOX11L2|MGC29804|RNX,P35400,T-cell leukemia homeobox 3
TM2D1,83941,chr1,62146719,62191095,1250,-,NM_032027,protein_coding,BBP,P1882,TM2 domain containing 1
TM2D2,83877,chr8,38846327,38854041,3356,-,NM_031940,protein_coding,BLP1|MGC125813|MGC125814,P20206,TM2 domain containing 2
TM2D3,80213,chr15,102173180,102192594,2159,-,NM_001308026,protein_coding,BLP2,P20933,TM2 domain containing 3
TM4SF1,4071,chr3,149086805,149095568,1691,-,NM_014220,protein_coding,H-L6|L6|M3S1|TAAL6,P10126,transmembrane 4 L six family member 1
TM4SF1-AS1,100874091,chr3,149095565,149104370,1143,+,NR_109810,lncRNA,.,.,TM4SF1 antisense RNA 1
TM4SF18,116441,chr3,149036285,149051548,3852,-,NM_001184723,protein_coding,L6D,P7001,transmembrane 4 L six family member 18
TM4SF19,116211,chr3,196050417,196065291,1225,-,NM_001204897,protein_coding,.,P3936,transmembrane 4 L six family member 19
TM4SF19-AS1,100874214,chr3,196045203,196052441,2061,+,NR_121665,lncRNA,.,.,TM4SF19 antisense RNA 1
TM4SF19-TCTEX1D2,100534611,chr3,196042956,196050868,401,-,NR_037950,lncRNA,.,.,TM4SF19-TCTEX1D2 readthrough (NMD candidate)
TM4SF20,79853,chr2,228226874,228244022,2294,-,NM_024795,protein_coding,FLJ22800|PRO994|TCCE518,P32886,transmembrane 4 L six family member 20
TM4SF4,7104,chr3,149192368,149221181,1607,+,NM_004617,protein_coding,FLJ31015|ILTMP|il-TMP,P14762,transmembrane 4 L six family member 4
TM4SF5,9032,chr17,4675187,4686506,708,+,NM_003963,protein_coding,.,P27540,transmembrane 4 L six family member 5
TM6SF1,53346,chr15,83776324,83806111,1909,+,NM_023003,protein_coding,.,P32702,transmembrane 6 superfamily member 1
TM6SF2,53345,chr19,19375174,19384074,1483,-,NM_001001524,protein_coding,KIAA1926,P20766,transmembrane 6 superfamily member 2
TM7SF2,7108,chr11,64879326,64883707,1601,+,NM_001277233,protein_coding,ANG1|DHCR14A|NET47,P18067,transmembrane 7 superfamily member 2
TM7SF3,51768,chr12,27124506,27167339,4343,-,NM_016551,protein_coding,.,P11826,transmembrane 7 superfamily member 3
TM9SF1,10548,chr14,24658349,24664942,2911,-,NM_006405,protein_coding,HMP70|MP70,P34849,transmembrane 9 superfamily member 1
TM9SF2,9375,chr13,100153628,100216302,3515,+,NM_004800,protein_coding,FLJ26287|MGC117391|P76,P33460,transmembrane 9 superfamily member 2
TM9SF3,56889,chr10,98277867,98346809,6140,-,NM_020123,protein_coding,EP70-P-iso|SMBP,P22205,transmembrane 9 superfamily member 3
TM9SF4,9777,chr20,30697309,30755061,3978,+,NM_014742,protein_coding,KIAA0255|dJ836N17.2,P8243,transmembrane 9 superfamily member 4
TMA16,55319,chr4,164415673,164441691,1918,+,NM_018352,protein_coding,.,P18240,translation machinery associated 16 homolog
TMA7,51372,chr3,48481686,48485537,463,+,NM_015933,protein_coding,.,P13012,translation machinery associated 7 homolog
TMBIM1,64114,chr2,219138917,219157280,2349,-,NM_022152,protein_coding,LFG3|MST100|MSTP100|RECS1,P17383,transmembrane BAX inhibitor motif containing 1
TMBIM4,51643,chr12,66530716,66563852,1930,-,NM_001282610,protein_coding,GAAP|LFG4|S1R|ZPRO,P1607,transmembrane BAX inhibitor motif containing 4
TMBIM6,7009,chr12,50135293,50158717,3356,+,NM_003217,protein_coding,BAXI1|BI-1|TEGT,P4766,transmembrane BAX inhibitor motif containing 6
TMC1,117531,chr9,75136717,75451267,3201,+,NM_138691,protein_coding,DFNA36|DFNB11|DFNB7,P6274,transmembrane channel-like 1
TMC2,117532,chr20,2517253,2622430,3169,+,NM_080751,protein_coding,C20orf145|dJ686C3.3,P23881,transmembrane channel like 2
TMC3,342125,chr15,81624760,81666418,3303,-,NM_001080532,protein_coding,.,P11536,transmembrane channel like 3
TMC3-AS1,101929655,chr15,81616674,81735417,1077,+,NR_120365,lncRNA,.,.,TMC3 antisense RNA 1
TMC4,147798,chr19,54663833,54676944,2463,-,NM_144686,protein_coding,MGC39329,P25827,transmembrane channel like 4
TMC5,79838,chr16,19421861,19510434,6115,+,NM_001308161,protein_coding,FLJ13593,P5079,transmembrane channel like 5
TMC6,11322,chr17,76108999,76128488,2958,-,NM_001127198,protein_coding,EV1|EVER1|EVIN1|FLJ17776|LAK-4P,P21033,transmembrane channel like 6
TMC7,79905,chr16,18995256,19075262,4694,+,NM_001300732,protein_coding,DKFZp781O2274|FLJ21240,P14701,transmembrane channel like 7
TMC8,147138,chr17,76126859,76139049,4419,+,NM_152468,protein_coding,EV2|EVER2|EVIN2|FLJ40668|FLJ43684|MGC102701|MGC40121,P31672,transmembrane channel like 8
TMCC1,23023,chr3,129366635,129612419,6293,-,NM_001017395,protein_coding,DKFZp686M0169|FLJ42680,P24125,transmembrane and coiled-coil domain family 1
TMCC1-AS1,100507032,chr3,129612714,129627755,3497,+,NR_037893,lncRNA,.,.,TMCC1 antisense RNA 1 (head to head)
TMCC2,9911,chr1,205197038,205242471,4614,+,NM_014858,protein_coding,FLJ38497|HUCEP11|KIAA0481,P7985,transmembrane and coiled-coil domain family 2
TMCC3,57458,chr12,94960900,95044338,6106,-,NM_020698,protein_coding,KIAA1145,P30814,transmembrane and coiled-coil domain family 3
